"sp" "body_mass_g.avg." "fossorial" "ground_dwelling" "aboveground_dwelling" "aquatic" "cathemeral" "crepuscular" "diurnal" "nocturnal"
"131" "Pseudalopex_vetulus" "4233.47" 0 1 0 0 0 1 0 1
"132" "Marmosa_constantiae" "92.69" 0 0 1 0 0 0 0 1
"133" "Marmosa_demerarae" "102.28" 0 1 1 0 0 0 0 1
"134" "Marmosa_murina" "28.5" 0 1 1 0 0 0 0 1
"135" "Marmosa_paraguayana" "110" 0 0 1 0 0 0 0 1
"137" "Marmosops_incanus" "59.88" 0 1 1 0 0 0 0 1
"138" "Marmosops_paulensis" "45" 0 1 1 0 NA NA NA NA
"139" "Mazama_americana" "20546.86" 0 1 0 0 0 0 1 0
"140" "Mazama_bororo" "25000" 0 1 0 0 0 1 0 1
"141" "Mazama_gouazoubira" "16633.17" 0 1 0 0 0 0 1 0
"142" "Mazama_nana" "16499.85" 0 1 0 0 0 1 0 1
"143" "Metachirus_nudicaudatus" "286.5" 0 1 0 0 0 0 0 1
"144" "Monodelphis_americana" "19.5" 0 1 0 0 0 1 1 0
"145" "Monodelphis_dimidiata" "52" 0 1 1 0 1 0 0 0
"146" "Monodelphis_domestica" "107.5" 0 1 0 0 0 0 0 1
"147" "Monodelphis_iheringi" "112" 0 1 0 0 0 0 0 1
"148" "Monodelphis_kunsi" "18.75" 0 1 0 0 0 0 0 1
"149" "Monodelphis_scalops" "763.19" 0 1 0 0 0 1 0 1
"150" "Monodelphis_unistriata" "55.3" 0 1 0 0 0 1 0 1
"151" "Myocastor_coypus" "6361.55" 0 1 0 1 0 0 1 1
"152" "Myrmecophaga_tridactyla" "29531.83" 0 0 1 0 0 0 0 1
"153" "Nasua_nasua" "3775.5" 0 1 1 0 0 0 1 0
"154" "Necromys_lasiurus" "39.93" 1 1 0 0 0 0 1 0
"155" "Necromys_temchuki" "47.2" NA NA NA NA NA NA NA NA
"156" "Nectomys_rattus" "248.8" 0 1 0 1 0 0 0 1
"157" "Nectomys_squamipes" "184.98" 0 1 0 1 0 0 0 1
"158" "Oecomys_bicolor" "40.74" 0 1 1 0 0 0 0 1
"159" "Oecomys_catherinae" "70" 0 1 1 0 0 0 0 1
"160" "Oecomys_cleberi" "73.4" 0 0 1 0 NA NA NA NA
"162" "Oecomys_trinitatis" "66" 0 1 1 0 NA NA NA NA
"164" "Oligoryzomys_eliurus" "34.58" 0 1 0 0 0 0 0 1
"165" "Oligoryzomys_flavescens" "21.3" 0 1 0 0 0 0 0 1
"166" "Oligoryzomys_fornesi" "14" 0 1 0 0 0 1 0 1
"168" "Oligoryzomys_nigripes" "20.33" 0 1 0 0 0 1 0 1
"169" "Oligoryzomys_rupestris" "13.8" 0 1 0 0 0 1 0 1
"170" "Oligoryzomys_stramineus" "27.1" 0 1 0 0 0 1 0 1
"171" "Oxymycterus_angularis" "67.99" 1 1 0 0 0 0 0 1
"173" "Oxymycterus_dasytrichus" "94.9" 1 1 0 0 0 0 0 1
"174" "Oxymycterus_delator" "81.49" 1 1 0 0 0 0 1 1
"175" "Oxymycterus_hispidus" "36.75" 1 1 0 0 0 0 0 1
"176" "Oxymycterus_nasutus" "67.99" 1 1 0 0 0 0 0 1
"177" "Oxymycterus_quaestor" "45.5" 1 1 0 0 0 0 0 1
"178" "Oxymycterus_roberti" "83.71" 1 1 0 0 0 0 0 1
"179" "Oxymycterus_rufus" "82.01" 1 1 0 0 0 0 1 1
"180" "Ozotoceros_bezoarticus" "34620.4" 0 1 0 0 0 0 1 1
"181" "Panthera_onca" "83943.09" 0 1 0 0 0 1 0 1
"182" "Pecari_tajacu" "21133.69" 0 1 0 0 0 1 0 1
