"sp" "BodyMass.Value" "Nocturnal" "ForStrat.watbelowsurf" "ForStrat.wataroundsurf" "ForStrat.ground" "ForStrat.understory" "ForStrat.midhigh" "ForStrat.canopy" "ForStrat.aerial" "PelagicSpecialist"
"135" "Colonia_colonus" "18.3" 0 0 0 0 30 70 0 0 0
"137" "Cranioleuca_semicinerea" "15" 0 0 0 0 0 50 50 0 0
"138" "Cyanocorax_cyanopogon" "146" 0 0 0 10 30 30 30 0 0
"139" "Anumara_forbesi" NA NA NA NA NA NA NA NA NA NA
"140" "Cyanoloxia_brissonii" NA NA NA NA NA NA NA NA NA NA
"141" "Cyanoloxia_glaucocaerulea" "18.2" 0 0 0 50 50 0 0 0 0
"142" "Dacnis_cayana" "13" 0 0 0 0 0 30 60 10 0
"143" "Phleocryptes_melanops" "14.6" 0 0 0 100 0 0 0 0 0
"144" "Dysithamnus_stictothorax" "16.16" 0 0 0 0 30 70 0 0 0
"145" "Drymophila_rubricollis" "10" 0 0 0 0 20 80 0 0 0
"146" "Elaenia_parvirostris" "13.8" 0 0 0 0 33 33 33 0 0
"147" "Griseotyrannus_aurantioatrocristatus" "33" 0 0 0 0 33 33 33 0 0
"148" "Euphonia_violacea" "15" 0 0 0 0 30 40 30 0 0
"149" "Fluvicola_albiventer" "11.6" 0 0 0 60 40 0 0 0 0
"150" "Formicivora_iheringi" "8.2" 0 0 0 30 30 40 0 0 0
"151" "Furnarius_rufus" "46.42" 0 0 0 70 30 0 0 0 0
"152" "Geositta_cunicularia" "28.5" 0 0 0 100 0 0 0 0 0
"153" "Herpsilochmus_sellowi" "7.5" 0 0 0 0 30 70 0 0 0
"154" "Hemitriccus_obsoletus" "11.6" 0 0 0 0 80 20 0 0 0
"155" "Hemitriccus_diops" "10" 0 0 0 0 100 0 0 0 0
"156" "Hemitriccus_furcatus" "8.64" 0 0 0 0 50 50 0 0 0
"157" "Herpsilochmus_atricapillus" "9.85" 0 0 0 0 0 100 0 0 0
"158" "Hemitriccus_kaempferi" "8.64" 0 0 0 0 80 20 0 0 0
"159" "Hemitriccus_nidipendulus" "7.5" 0 0 0 0 80 20 0 0 0
"161" "Hylopezus_nattereri" "32" 0 0 0 100 0 0 0 0 0
"162" "Hylopezus_ochroleucus" "28" 0 0 0 100 0 0 0 0 0
"164" "Hymenops_perspicillatus" "22.9" 0 0 0 100 0 0 0 0 0
"165" "Larus_cirrocephalus" "374.69" 0 20 40 40 0 0 0 0 0
"166" "Larus_maculipennis" "339" 0 0 20 60 20 0 0 0 0
"167" "Laterallus_leucopyrrhus" "45.5" 0 0 0 100 0 0 0 0 0
"168" "Laterallus_melanophaius" "52.1" 0 0 50 50 0 0 0 0 0
"169" "Laterallus_xenopterus" "56.9" 0 0 30 70 0 0 0 0 0
"170" "Leptotila_rufaxilla" "157" 0 0 0 100 0 0 0 0 0
"171" "Leucochloris_albicollis" "6.3" 0 0 0 0 30 60 10 0 0
"172" "Limosa_haemastica" "253.29" 0 0 50 50 0 0 0 0 0
"173" "Lophornis_magnificus" "2.7" 0 0 0 0 50 50 0 0 0
"174" "Myrmoderus_loricatus" NA NA NA NA NA NA NA NA NA NA
"175" "Rhopias_gularis" "8.7" 0 0 0 0 80 20 0 0 0
"176" "Stigmatura_bahiae" "9.77" 0 0 0 0 80 20 0 0 0
"177" "Pseudopipra_pipra" NA NA NA NA NA NA NA NA NA NA
"178" "Ceratopipra_rubrocapilla" "12" 0 0 0 0 50 50 0 0 0
"179" "Philohydor_lictor" "25.5" 0 0 0 10 70 20 0 0 0
