"sp" "BodyMass.Value" "Nocturnal" "ForStrat.watbelowsurf" "ForStrat.wataroundsurf" "ForStrat.ground" "ForStrat.understory" "ForStrat.midhigh" "ForStrat.canopy" "ForStrat.aerial" "PelagicSpecialist"
"204" "Euphonia_laniirostris" "15" 0 0 0 0 0 70 30 0 0
"205" "Euphonia_pectoralis" "14.4" 0 0 0 0 0 30 70 0 0
"206" "Euphonia_violacea" "15" 0 0 0 0 30 40 30 0 0
"207" "Euphonia_xanthogaster" "13" 0 0 0 0 20 60 20 0 0
"208" "Euscarthmus_meloryphus" "6.8" 0 0 0 0 100 0 0 0 0
"209" "Euscarthmus_rufomarginatus" "6" 0 0 0 20 80 0 0 0 0
"210" "Falco_rufigularis" "163.64" 0 0 0 10 30 30 0 30 0
"211" "Florisuga_fusca" "8.1" 0 0 0 0 30 60 0 10 0
"212" "Fluvicola_albiventer" "11.6" 0 0 0 60 40 0 0 0 0
"213" "Fluvicola_nengeta" "21" 0 0 0 60 40 0 0 0 0
"214" "Formicarius_colma" "47" 0 0 0 80 20 0 0 0 0
"215" "Formicivora_erythronotos" "10.3" 0 0 0 40 40 20 0 0 0
"216" "Formicivora_grisea" "10.36" 0 0 0 20 40 40 0 0 0
"217" "Formicivora_iheringi" "8.2" 0 0 0 30 30 40 0 0 0
"218" "Formicivora_melanogaster" "10.5" 0 0 0 40 40 20 0 0 0
"219" "Formicivora_rufa" "10.8" 0 0 0 50 50 0 0 0 0
"220" "Formicivora_serrana" "11.4" 0 0 0 50 50 0 0 0 0
"221" "Forpus_xanthopterygius" "31" 0 0 0 100 0 0 0 0 0
"222" "Fulica_armillata" "1040" 0 70 30 0 0 0 0 0 0
"223" "Fulica_leucoptera" "656" 0 10 70 20 0 0 0 0 0
"224" "Fulica_rufifrons" "644" 0 20 60 20 0 0 0 0 0
"225" "Furnarius_figulus" "28" 0 0 0 100 0 0 0 0 0
"226" "Furnarius_leucopus" "54.8" 0 0 0 100 0 0 0 0 0
"227" "Furnarius_rufus" "46.42" 0 0 0 70 30 0 0 0 0
"228" "Gallinago_undulata" "312.42" 0 0 0 100 0 0 0 0 0
"229" "Gampsonyx_swainsonii" "92.9" 0 0 0 100 0 0 0 0 0
"230" "Geositta_cunicularia" "28.5" 0 0 0 100 0 0 0 0 0
