"sp" "Body_size_mm" "Diu" "Noc" "Crepu" "Fos" "Ter" "Aqu" "Arb"
"164" "Elachistocleis_ovalis" "43.8" 0 1 0 1 1 1 0
"166" "Euparkerella_brasiliensis" "17" 1 1 1 0 1 0 0
"167" "Euparkerella_cochranae" "16" 1 1 1 0 1 0 0
"170" "Fritziana_fissilis" "28" 0 1 0 0 0 1 1
"171" "Fritziana_goeldii" "37" 0 1 0 0 0 1 1
"172" "Fritziana_ohausi" "31" 0 1 0 0 0 1 1
"173" "Frostius_erythrophthalmus" "25.6" 0 1 0 0 1 0 1
"174" "Frostius_pernambucensis" "21" 0 1 0 0 1 1 1
"175" "Gastrotheca_albolineata" "60" 0 1 1 0 0 0 1
"176" "Gastrotheca_ernestoi" "75" 0 1 0 0 0 0 1
"177" "Gastrotheca_fissipes" "72" 0 1 0 0 0 0 1
"178" "Gastrotheca_fulvorufa" "69" 0 1 0 0 0 0 1
"179" "Gastrotheca_microdiscus" "49" 0 1 0 0 0 0 1
"180" "Haddadus_binotatus" "63.8" 0 1 1 0 1 0 0
"182" "Holoaden_luederwaldti" "48" 0 1 0 1 1 0 0
"183" "Holoaden_suarezi" "44.2" 0 1 0 1 1 0 0
"185" "Hylodes_asper" "44.9" 1 0 0 0 1 1 1
"186" "Hylodes_babax" "33" 1 0 0 0 1 1 1
"187" "Hylodes_cardosoi" "46.5" 1 0 0 0 1 1 0
"188" "Hylodes_charadranaetes" "34.7" 1 0 0 0 1 1 1
"189" "Hylodes_dactylocinus" "31" 1 0 0 0 1 1 0
"191" "Hylodes_glaber" "40" 1 0 0 0 1 1 1
"192" "Hylodes_heyeri" "42.6" 1 0 0 0 1 1 1
"193" "Hylodes_lateristrigatus" "40" 1 0 0 0 1 1 1
"194" "Hylodes_magalhaesi" "31.5" 1 1 0 0 1 1 1
"195" "Hylodes_meridionalis" "50" 1 1 1 0 1 1 0
"196" "Hylodes_mertensi" "54.5" 1 0 0 0 1 1 1
"197" "Hylodes_nasus" "38" 1 0 0 0 1 1 1
"198" "Hylodes_ornatus" "25.5" 1 0 0 0 1 1 1
"199" "Hylodes_otavioi" "33.3" 1 0 0 0 1 1 1
"201" "Hylodes_perplicatus" "45.1" 1 0 0 0 1 1 0
"202" "Hylodes_phyllodes" "32.2" 1 0 0 0 1 1 0
"204" "Hylodes_regius" "35.6" 1 0 0 0 1 1 1
"205" "Hylodes_sazimai" "30.3" 1 0 0 0 1 1 0
"206" "Hylodes_uai" "33.6" 1 0 0 0 1 1 1
"207" "Hylodes_vanzolinii" "29" 1 0 0 0 1 1 1
"208" "Hypsiboas_bandeirantes" "31.2" 0 1 0 0 0 0 1
"209" "Hypsiboas_paranaiba" "52.3" 0 1 0 0 0 1 1
"211" "Hypsiboas_albomarginatus" "62" 0 1 0 0 1 1 1
"212" "Hypsiboas_albopunctatus" "75" 0 1 0 0 0 1 1
"213" "Hypsiboas_atlanticus" "43.5" 0 1 0 0 1 1 1
"214" "Hypsiboas_bischoffi" "69" 0 1 0 0 1 1 1
"215" "Hypsiboas_caingua" "38" 0 1 0 0 1 1 1
"216" "Hypsiboas_cipoensis" "37.5" 0 1 0 0 1 1 1
"217" "Hypsiboas_crepitans" "75" 0 1 0 0 1 0 1
"218" "Hypsiboas_curupi" "47" 0 1 0 0 1 1 1
"219" "Hypsiboas_cymbalum" "50" 0 1 0 0 1 1 0
"220" "Hypsiboas_exastis" "99" 0 1 0 0 1 1 0
"221" "Hypsiboas_faber" "104" 0 1 1 0 1 1 1
"222" "Hypsiboas_geographicus" "85" 0 1 0 0 1 1 1
"223" "Hypsiboas_goianus" "38.3" 0 1 0 0 1 0 1
"224" "Hypsiboas_guentheri" "47" 0 1 0 0 1 1 1
"225" "Hypsiboas_joaquini" "56.4" 0 1 0 0 1 1 1
"226" "Hypsiboas_latistriatus" "51.6" 0 1 0 0 1 1 0
"227" "Hypsiboas_leptolineatus" "39" 0 1 0 0 1 1 1
"228" "Hypsiboas_lundii" "76" 0 1 0 0 1 1 1
"229" "Hypsiboas_marginatus" "51.1" 0 1 0 0 1 0 1
