"sp" "Body_size_mm" "Diu" "Noc" "Crepu" "Fos" "Ter" "Aqu" "Arb"
"542" "Scinax_ranki" "28.7" 0 1 0 0 1 1 1
"543" "Scinax_rizibilis" "34" 1 1 0 0 1 1 1
"544" "Scinax_rogerioi" "35.6" 0 1 0 0 1 0 1
"547" "Scinax_similis" "41" 0 1 0 0 0 1 1
"549" "Scinax_squalirostris" "29" 0 1 0 0 1 1 1
"551" "Scinax_trapicheiroi" "40" 0 1 0 0 1 1 1
"552" "Scinax_tymbamirim" "26" 0 1 0 0 0 1 1
"553" "Scinax_uruguayus" "25.8" 0 1 0 0 1 1 1
"554" "Scinax_v-signatus" "27" 0 1 0 0 0 1 1
"555" "Scinax_x-signatus" "41" 0 1 0 0 1 1 1
"556" "Scythrophrys_sawayae" "16.71" 0 1 0 0 1 1 0
"557" "Sphaenorhynchus_botocudo" "29.3" 0 1 0 0 1 1 1
"560" "Sphaenorhynchus_caramaschii" "29.3" 0 1 0 0 1 1 1
"561" "Sphaenorhynchus_orophilus" "32" 0 1 0 0 1 1 1
"562" "Sphaenorhynchus_palustris" "36" 0 1 0 0 1 1 1
"563" "Sphaenorhynchus_pauloalvini" "24" 0 1 0 0 1 1 1
"564" "Sphaenorhynchus_planicola" "24" 0 1 0 0 1 1 1
"565" "Sphaenorhynchus_prasinus" "31" 0 1 0 0 1 1 1
"566" "Sphaenorhynchus_surdus" "28" 0 1 0 0 1 1 1
"568" "Stereocyclops_incrassatus" "57.8" 0 1 0 1 1 1 1
"570" "Stereocyclops_parkeri" "60" 0 1 0 1 1 1 0
"571" "Thoropa_lutzi" "30" 0 1 0 0 1 1 0
"572" "Thoropa_megatympanum" "53" 0 1 0 0 1 1 0
"573" "Thoropa_miliaris" "78" 0 1 1 0 1 1 0
"574" "Thoropa_petropolitana" "27" 0 1 0 0 1 1 0
"575" "Thoropa_saxatilis" "58" 0 1 0 0 1 1 0
"576" "Thoropa_taophora" "102.1" 0 1 0 0 1 1 0
"577" "Trachycephalus_atlas" "107" 0 1 0 0 1 0 1
"578" "Trachycephalus_dibernardoi" "84.4" 0 1 0 0 0 0 1
"579" "Trachycephalus_imitatrix" "71" 0 1 0 0 1 0 1
"580" "Trachycephalus_lepidus" "58.7" 0 1 0 0 1 1 1
"581" "Trachycephalus_mesophaeus" "80.5" 0 1 0 0 1 1 1
"582" "Trachycephalus_nigromaculatus" "91.05" 0 1 0 0 1 0 1
"585" "Vitreorana_eurygnatha" "23" 0 1 0 0 0 0 1
"587" "Vitreorana_uranoscopa" "25.8" 0 1 0 0 0 0 1
"589" "Xenohyla_truncata" "42" 0 1 0 0 0 1 1
"591" "Zachaenus_parvulus" "29.6" 0 1 0 0 1 0 0
