sp;body_mass_g.avg.;fossorial;ground_dwelling;aboveground_dwelling;aquatic;cathemeral;crepuscular;diurnal;nocturnal;area_m2;Littersize;LittersPerYear;foraging_stratum;activity_cycle
Cyclopes_didactylus;263.95;0;0;1;0;0;0;0;1;4854323732;1;2;Ar;1
Dasyprocta_azarae;2976.81;0;1;0;0;0;0;1;0;1.67E+12;2;NA;G;2
Dasyprocta_iacki;3050;0;1;0;0;0;0;1;0;46349040273;NA;NA;NA;NA
Dasyprocta_leporina;3009.99;0;1;0;0;0;0;1;0;4.56E+12;1.4;2;G;2
Dasyprocta_prymnolopha;2900;0;1;0;0;0;0;1;0;1.93E+12;1.5;1;G;2
Dasypus_hybridus;1500;1;1;0;0;0;0;0;1;1.42E+12;8.36;1;G;1
Dasypus_novemcinctus;3949.01;1;1;0;0;0;1;0;1;318785318.7;3.96;1;G;1
Dasypus_novemcinctus;3949.01;1;1;0;0;0;1;0;1;311784715.6;3.96;1;G;1
Dasypus_novemcinctus;3949.01;1;1;0;0;0;1;0;1;1.82E+13;3.96;1;G;1
Dasypus_novemcinctus;3949.01;1;1;0;0;0;1;0;1;4854327008;3.96;1;G;1
Dasypus_septemcinctus;1526.64;1;1;0;0;0;0;0;0;5.80E+12;5.99;NA;G;1
Delomys_collinus;47;0;1;0;0;NA;NA;NA;NA;88365778107;NA;NA;G;1
Delomys_dorsalis;67.5;0;1;0;0;0;0;1;0;2.92E+11;3;NA;G;1
Delomys_sublineatus;89.99;0;1;0;0;0;0;1;0;1.51E+11;5;NA;G;1
Deltamys_kempi;26.4;0;1;0;0;NA;NA;NA;NA;1.42E+11;NA;NA;G;2
Didelphis_albiventris;850;0;1;1;0;0;0;0;1;6.80E+12;5.5;1;S;1
Didelphis_aurita;1290;0;1;1;0;0;0;0;1;1.45E+12;6.2;1.5;S;1
Drymoreomys_albimaculatus;57;0;0;1;0;0;0;0;1;1.41E+11;3;NA;NA;NA
Eira_barbara;4134.99;0;1;1;0;0;0;0;1;1.34E+13;2.14;2.5;G;2
Eira_barbara;4134.99;0;1;1;0;0;0;0;1;4854324019;2.14;2.5;G;2
Euphractus_sexcinctus;4731.16;1;1;0;0;0;0;1;0;7.72E+12;1.73;NA;G;2
Euryoryzomys_lamia;60.5;0;1;0;0;0;0;0;1;1.52E+11;NA;NA;G;2
Euryoryzomys_russatus;60.5;0;1;0;0;0;0;0;1;1.01E+12;NA;NA;G;2
Euryzygomatomys_spinosus;187.49;1;1;0;0;0;0;0;1;8.08E+11;0.97;NA;G;1
Galea_spixii;360.61;0;1;1;0;0;0;1;1;1.70E+12;2.19;6.75;G;3
Galictis_cuja;2000;0;1;0;0;0;0;1;1;7.67E+12;3;4;G;2
Galictis_vittata;2300;0;1;0;0;0;0;1;1;1.00E+13;2;1;G;2
Gracilinanus_agilis;22.03;0;1;1;0;0;0;0;1;3.61E+12;11;2;S;2
Gracilinanus_microtarsus;29.3;0;1;1;0;0;0;0;1;6.31E+11;10.5;1;S;2
Gracilinanus_microtarsus;29.3;0;1;1;0;0;0;0;1;1143694127;10.5;1;S;2
Graomys_chacoensis;68.86;NA;NA;NA;NA;NA;NA;NA;NA;1.18E+12;7.01;NA;S;NA
Holochilus_brasiliensis;155;1;1;0;1;0;0;0;1;2.88E+12;3.88;NA;G;1
Holochilus_chacarius;204;0;1;1;1;0;0;0;1;7.67E+11;3.44;NA;G;1
Holochilus_sciureus;120.42;0;1;0;1;0;0;1;1;9.32E+12;3.12;NA;G;1
Hydrochoerus_hydrochaeris;48144.91;0;1;0;1;0;0;1;1;1.34E+13;3.49;1;G;3
Hylaeamys_laticeps;49.11;0;1;0;0;0;0;0;1;2.87E+11;4.02;5.995;G;2
Hylaeamys_laticeps;49.11;0;1;0;0;0;0;0;1;2.87E+11;4.02;5.995;G;2
Hylaeamys_megacephalus;57;0;1;0;0;0;0;0;1;5.97E+12;3.72;6.06;G;2
Hylaeamys_oniscus;60;0;1;0;0;0;0;0;1;83829887516;NA;NA;NA;NA
Juliomys_pictipes;22.9;0;1;1;0;0;0;0;1;4.38E+11;NA;NA;G;NA
Juliomys_rimofrons;22.5;0;1;0;0;NA;NA;NA;NA;10671038253;NA;NA;G;NA
Kannabateomys_amblyonyx;599.99;0;0;1;0;0;0;0;1;9.16E+11;1;2;Ar;1
Kerodon_rupestris;799.15;0;1;1;0;1;0;0;0;7.09E+11;1.52;5;G;2
Leontopithecus_caissara;604.01;0;0;1;0;0;0;1;0;205644629.3;2;1;Ar;3
Leontopithecus_chrysomelas;572.8;0;0;1;0;0;0;1;0;20187573143;2.04;1;Ar;3
Leontopithecus_chrysopygus;656.12;0;0;1;0;0;0;1;0;63675433471;2;1;Ar;3
Leontopithecus_rosalia;592.52;0;0;1;0;0;0;1;0;3990777084;2;1;Ar;3
Leontopithecus_rosalia;592.52;0;0;1;0;0;0;1;0;3990777084;2;1;Ar;3
Leopardus_colocolo;6000;0;1;0;0;0;0;1;1;4.79E+12;2.5;NA;G;1
Leopardus_geoffroyi;3800;0;1;0;0;0;1;0;1;3.53E+12;2.57;1.315;G;1
Leopardus_guttulus;3500;0;1;0;0;0;0;1;1;2.15E+12;2.5;NA;S;NA
Leopardus_pardalis;11880;0;1;0;0;0;0;0;1;1.45E+13;1.66;1;G;1
Leopardus_tigrinus;22500;0;1;0;0;1;0;0;0;9.39E+12;2;NA;S;NA
Leopardus_wiedii;3270.81;0;1;1;0;1;0;0;0;1.23E+13;1.5;NA;S;2
Lontra_longicaudis;6554.97;0;1;0;1;0;1;1;0;1.50E+13;3.69;NA;G;2
Lundomys_molitor;238.49;0;1;0;1;0;0;0;1;2.96E+11;2.91;NA;G;1
Lutreolina_crassicaudata;638;0;1;1;1;0;0;0;1;3.05E+12;9;2;S;1
Lycalopex_gymnocercus;4542.67;0;1;0;0;0;0;0;1;2.78E+12;3.09;1;G;2
Lycalopex_vetulus;4233.47;0;1;0;0;0;1;0;1;2.05E+12;3;1;G;3
Lycalopex_vetulus;4233.47;0;1;0;0;0;1;0;1;1256229037;3;1;G;3
Marmosa_constantiae;92.69;0;0;1;0;0;0;0;1;1.30E+12;8;NA;S;1
Marmosa_demerarae;102.28;0;1;1;0;0;0;0;1;7.82E+12;6.29;2;S;1
Marmosa_murina;28.5;0;1;1;0;0;0;0;1;6.44E+12;9;3;Ar;1
Marmosa_murina;28.5;0;1;1;0;0;0;0;1;4854327010;9;3;Ar;1
Marmosa_murina;28.5;0;1;1;0;0;0;0;1;311784716.6;9;3;Ar;1
Marmosa_paraguayana;110;0;0;1;0;0;0;0;1;9.63E+11;8;2;S;1
Marmosops_bishopi;34.23;0;1;1;0;0;0;0;1;2.22E+12;4.05;NA;Ar;NA
Marmosops_incanus;59.88;0;1;1;0;0;0;0;1;6.05E+11;NA;1;Ar;1
Marmosops_paulensis;45;0;1;1;0;NA;NA;NA;NA;74074581085;NA;1;Ar;NA
Mazama_americana;20546.86;0;1;0;0;0;0;1;0;1.10E+13;1.22;1;G;2
Mazama_bororo;25000;0;1;0;0;0;1;0;1;2.18E+11;1;NA;G;NA
Mazama_bororo;25000;0;1;0;0;0;1;0;1;19499149475;1;NA;G;NA
Mazama_gouazoubira;16633.17;0;1;0;0;0;0;1;0;45866774.21;1;1.5;G;2
Mazama_gouazoubira;16633.17;0;1;0;0;0;0;1;0;5.75E+12;1;1.5;G;2
Mazama_nana;16499.85;0;1;0;0;0;1;0;1;3.30E+11;1;1;G;2
Mazama_nana;16499.85;0;1;0;0;0;1;0;1;1.18E+11;1;1;G;2
Metachirus_nudicaudatus;286.5;0;1;0;0;0;0;0;1;1.03E+13;5;1.55;S;1
Monodelphis_americana;19.5;0;1;0;0;0;1;1;0;1.60E+12;NA;NA;G;1
Monodelphis_dimidiata;52;0;1;1;0;1;0;0;0;1.93E+12;12;1;G;1
Monodelphis_domestica;107.5;0;1;0;0;0;0;0;1;4.11E+12;8;4;G;1
Monodelphis_iheringi;112;0;1;0;0;0;0;0;1;6.78E+11;NA;NA;G;1
Monodelphis_kunsi;18.75;0;1;0;0;0;0;0;1;1.20E+12;NA;NA;G;1
Monodelphis_scalops;763.19;0;1;0;0;0;1;0;1;3.53E+11;NA;NA;G;1
Monodelphis_unistriata;55.3;0;1;0;0;0;1;0;1;415501329.3;NA;NA;G;1
Myocastor_coypus;6361.55;0;1;0;1;0;0;1;1;3.89E+12;5.34;2.58;G;1
Myrmecophaga_tridactyla;29531.83;0;0;1;0;0;0;0;1;2.74E+11;1;1;G;2
Myrmecophaga_tridactyla;29531.83;0;0;1;0;0;0;0;1;1.17E+13;1;1;G;2
Myrmecophaga_tridactyla;29531.83;0;0;1;0;0;0;0;1;9.13E+11;1;1;G;2
Nasua_nasua;3775.5;0;1;1;0;0;0;1;0;1.06E+13;3.69;1;S;3
Necromys_lasiurus;39.93;1;1;0;0;0;0;1;0;5.62E+12;4.5;NA;G;3
Necromys_temchuki;47.2;NA;NA;NA;NA;NA;NA;NA;NA;1.04E+11;NA;NA;G;NA
Nectomys_rattus;248.8;0;1;0;1;0;0;0;1;7.11E+12;2.5;6;G;1
Nectomys_squamipes;184.98;0;1;0;1;0;0;0;1;2.34E+12;4.5;6;G;1
Oecomys_bicolor;40.74;0;1;1;0;0;0;0;1;8.59E+12;3.15;NA;G;1
Oecomys_catherinae;70;0;1;1;0;0;0;0;1;3.49E+12;NA;NA;G;NA
Oecomys_cleberi;73.4;0;0;1;0;NA;NA;NA;NA;5.45E+11;NA;NA;G;NA
Oecomys_mamorae;62.5;0;1;1;0;0;0;0;1;6.29E+11;NA;NA;G;NA
Oecomys_mamorae;62.5;0;1;1;0;0;0;0;1;22926338415;NA;NA;G;NA
Oecomys_trinitatis;66;0;1;1;0;NA;NA;NA;NA;4.75E+12;3;NA;G;NA
Oecomys_trinitatis;66;0;1;1;0;NA;NA;NA;NA;77194883388;3;NA;G;NA
Oligoryzomys_chacoensis;23;0;1;0;0;0;0;0;1;7.61E+11;NA;NA;G;1
Oligoryzomys_eliurus;34.58;0;1;0;0;0;0;0;1;2.26E+12;NA;NA;G;1
Oligoryzomys_flavescens;21.3;0;1;0;0;0;0;0;1;3.15E+12;4.95;NA;G;1
Oligoryzomys_fornesi;14;0;1;0;0;0;1;0;1;1.74E+12;3.4;NA;G;1
Oligoryzomys_moojeni;16.9;0;1;0;0;0;1;0;1;2.13E+11;3;NA;NA;NA
Oligoryzomys_nigripes;20.33;0;1;0;0;0;1;0;1;3.21E+12;3.59;NA;G;1
Oligoryzomys_rupestris;13.8;0;1;0;0;0;1;0;1;4.63E+11;NA;NA;NA;NA
Oligoryzomys_stramineus;27.1;0;1;0;0;0;1;0;1;5.30E+11;4;NA;G;1
Oxymycterus_angularis;67.99;1;1;0;0;0;0;0;1;4.57E+11;NA;NA;G;3
Oxymycterus_caparaoe;46.4;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Oxymycterus_dasytrichus;94.9;1;1;0;0;0;0;0;1;2.84E+11;2.765;2.6;G;3
Oxymycterus_delator;81.49;1;1;0;0;0;0;1;1;82738216588;3;NA;G;3
Oxymycterus_hispidus;36.75;1;1;0;0;0;0;0;1;4.38E+11;2.765;2.6;G;3
Oxymycterus_nasutus;67.99;1;1;0;0;0;0;0;1;5.59E+11;2.765;2.6;G;3
Oxymycterus_quaestor;45.5;1;1;0;0;0;0;0;1;7.84E+11;2.765;2.6;G;3
Oxymycterus_roberti;83.71;1;1;0;0;0;0;0;1;8.43E+11;2.765;2.6;G;3
Oxymycterus_rufus;82.01;1;1;0;0;0;0;1;1;2.81E+11;2.51;2.6;G;3
Ozotoceros_bezoarticus;34620.4;0;1;0;0;0;0;1;1;4.68E+11;1;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;90015261522;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;59548867257;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;25261361744;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;6.90E+11;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;8.56E+11;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;5927847198;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;7244410418;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;6.31E+11;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;19045647864;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;74572651377;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;27503269252;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;1295696519;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;2279369221;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;6.67E+11;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;5447992.192;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;4.39E+12;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;38799178542;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;1.47E+11;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;52575889766;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;14765349774;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;18737788453;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;46694920706;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;240580242.6;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;92556480990;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;8.74E+11;1.96;1;G;2
Panthera_onca;83943.09;0;1;0;0;0;1;0;1;1.94E+11;1.96;1;G;2
Pecari_tajacu;21133.69;0;1;0;0;0;1;0;1;1.54E+13;1.56;2;G;2
Pecari_tajacu;21133.69;0;1;0;0;0;1;0;1;5.73E+11;1.56;2;G;2
Pecari_tajacu;21133.69;0;1;0;0;0;1;0;1;4854324492;1.56;2;G;2
Phaenomys_ferrugineus;93.8;0;1;1;0;0;0;0;1;36151297773;NA;NA;G;NA
Philander_frenatus;625.5;0;1;1;0;0;0;0;1;9.22E+11;5;2.5;S;NA
Philander_opossum;444.4;0;1;1;0;0;0;0;1;5.89E+12;4.5;3;S;2
Phyllomys_blainvillii;243.3;0;0;1;0;0;0;0;1;3.32E+11;2.5;NA;G;1
Phyllomys_dasythrix;260;0;0;1;0;0;0;0;1;2.76E+11;NA;NA;G;1
Phyllomys_dasythrix;260;0;0;1;0;0;0;0;1;2.76E+11;NA;NA;G;1
Phyllomys_kerri;235;0;0;1;0;0;0;0;1;2115844037;NA;NA;G;NA
Phyllomys_lamarum;215.19;0;0;1;0;0;0;0;1;3.88E+11;2;NA;G;1
Phyllomys_lundi;173.5;0;0;1;0;0;0;0;1;16104138150;NA;NA;G;NA
Phyllomys_mantiqueirensis;207;0;0;1;0;0;0;0;1;16165573273;NA;NA;G;NA
Phyllomys_medius;150;0;0;1;0;0;0;0;1;5.02E+11;2;NA;G;NA
Phyllomys_nigrispinus;224.3;0;0;1;0;0;0;0;1;1.74E+11;1;NA;G;1
Phyllomys_pattoni;212.3;0;0;1;0;0;0;0;1;3.03E+11;2;NA;G;NA
Phyllomys_sulinus;190;NA;NA;NA;NA;NA;NA;NA;NA;5.79E+11;NA;NA;NA;NA
Phyllomys_thomasi;502.14;0;0;1;0;0;0;0;1;341492788.5;NA;NA;G;1
Phyllomys_unicolor;439;0;0;1;0;0;0;0;1;4485153080;NA;NA;G;1
Potos_flavus;2441.81;0;0;1;0;0;0;0;1;1.27E+13;1.11;1;Ar;1
Priodontes_maximus;40641.89;1;0;0;0;0;0;0;1;9.61E+12;1.5;0.3;G;1
Procyon_cancrivorus;6931.72;0;1;0;0;0;0;0;1;1.27E+13;2.62;1;G;1
Procyon_cancrivorus;6931.72;0;1;0;0;0;0;0;1;4854324619;2.62;1;G;1
Procyon_cancrivorus;6931.72;0;1;0;0;0;0;0;1;311784179.7;2.62;1;G;1
Proechimys_longicaudatus;205;0;1;0;0;0;0;0;1;1.35E+12;2.4;NA;G;1
Proechimys_roberti;284.99;0;1;0;0;NA;NA;NA;NA;1.70E+12;2.1;NA;G;NA
Pseudoryzomys_simplex;45.2;0;1;0;1;0;0;0;1;3.12E+12;NA;NA;G;NA
Pteronura_brasiliensis;26000;0;0;0;1;0;0;1;0;6.63E+12;2.12;1;G;3
Puma_concolor;53954.05;0;1;0;0;0;0;0;1;1.51E+12;2.76;0.75;G;2
Puma_concolor;53954.05;0;1;0;0;0;0;0;1;2.11E+13;2.76;0.75;G;2
Puma_yagouaroundi;6875;0;1;0;0;0;0;1;1;NA;2.5;2;NA;NA
Reithrodon_typicus;85;0;1;0;0;0;0;0;1;3.09E+11;4.515;NA;G;1
Rhagomys_rufescens;21.2;0;1;1;0;0;0;0;1;3.44E+11;NA;NA;Ar;NA
Rhipidomys_itoan;NA;NA;NA;NA;NA;NA;NA;NA;NA;97658979935;NA;NA;NA;NA
Rhipidomys_macrurus;30;0;0;1;0;0;0;0;1;1.57E+12;3.8;3.5;Ar;1
Rhipidomys_mastacalis;100;0;0;1;0;0;0;0;1;6.34E+11;3.8;3.5;Ar;1
Rhipidomys_tribei;NA;NA;NA;NA;NA;NA;NA;NA;NA;36181548419;NA;NA;NA;NA
Sapajus_cay;3075;0;0;1;0;0;0;1;0;6.21E+11;1;0.5;Ar;3
