"V1" "V2" "id"
"56" -52.899663561 -25.62276882 267
"57" -52.899663561 -26.12276882 268
"58" -52.899663561 -26.62276882 269
"59" -52.899663561 -27.12276882 270
"60" -52.899663561 -27.62276882 271
"61" -52.899663561 -28.12276882 272
"62" -52.899663561 -28.62276882 273
"63" -52.899663561 -29.12276882 274
"64" -52.899663561 -29.62276882 275
"65" -52.399663561 -22.12276882 306
"66" -52.399663561 -22.62276882 307
"67" -52.399663561 -23.12276882 308
"68" -52.399663561 -23.62276882 309
"69" -52.399663561 -24.12276882 310
"70" -52.399663561 -24.62276882 311
"71" -52.399663561 -25.12276882 312
"72" -52.399663561 -25.62276882 313
"73" -52.399663561 -26.12276882 314
"74" -52.399663561 -26.62276882 315
"75" -52.399663561 -27.12276882 316
"76" -52.399663561 -27.62276882 317
"77" -52.399663561 -28.12276882 318
"78" -52.399663561 -28.62276882 319
"79" -52.399663561 -29.12276882 320
"80" -52.399663561 -29.62276882 321
"81" -51.899663561 -21.12276882 350
"82" -51.899663561 -21.62276882 351
"83" -51.899663561 -22.12276882 352
"84" -51.899663561 -22.62276882 353
"85" -51.899663561 -23.12276882 354
"86" -51.899663561 -23.62276882 355
"87" -51.899663561 -24.12276882 356
"88" -51.899663561 -24.62276882 357
"89" -51.899663561 -25.12276882 358
"90" -51.899663561 -25.62276882 359
"91" -51.899663561 -26.12276882 360
"92" -51.899663561 -26.62276882 361
"93" -51.899663561 -27.12276882 362
"94" -51.899663561 -27.62276882 363
"95" -51.899663561 -28.12276882 364
"96" -51.899663561 -28.62276882 365
"97" -51.899663561 -29.12276882 366
"98" -51.899663561 -29.62276882 367
"99" -51.399663561 -20.12276882 394
"100" -51.399663561 -20.62276882 395
"101" -51.399663561 -21.12276882 396
"102" -51.399663561 -21.62276882 397
"103" -51.399663561 -22.12276882 398
"104" -51.399663561 -22.62276882 399
"105" -51.399663561 -23.12276882 400
"106" -51.399663561 -23.62276882 401
"107" -51.399663561 -24.12276882 402
"108" -51.399663561 -24.62276882 403
"109" -51.399663561 -25.12276882 404
"110" -51.399663561 -25.62276882 405
"111" -51.399663561 -26.12276882 406
"112" -51.399663561 -26.62276882 407
"113" -51.399663561 -27.12276882 408
"114" -51.399663561 -27.62276882 409
"115" -51.399663561 -28.12276882 410
"116" -51.399663561 -28.62276882 411
"117" -51.399663561 -29.12276882 412
"118" -51.399663561 -29.62276882 413
"119" -50.899663561 -18.62276882 437
"120" -50.899663561 -19.12276882 438
"121" -50.899663561 -19.62276882 439
"122" -50.899663561 -20.12276882 440
"123" -50.899663561 -20.62276882 441
"124" -50.899663561 -21.12276882 442
"125" -50.899663561 -21.62276882 443
"126" -50.899663561 -22.12276882 444
"127" -50.899663561 -22.62276882 445
"128" -50.899663561 -23.12276882 446
"129" -50.899663561 -23.62276882 447
"130" -50.899663561 -24.12276882 448
"131" -50.899663561 -24.62276882 449
"132" -50.899663561 -25.12276882 450
"133" -50.899663561 -25.62276882 451
"134" -50.899663561 -26.12276882 452
"135" -50.899663561 -26.62276882 453
"136" -50.899663561 -27.12276882 454
"137" -50.899663561 -27.62276882 455
"138" -50.899663561 -28.12276882 456
"139" -50.899663561 -28.62276882 457
"140" -50.899663561 -29.12276882 458
"141" -50.899663561 -29.62276882 459
"142" -50.399663561 -18.62276882 483
"143" -50.399663561 -19.12276882 484
"144" -50.399663561 -19.62276882 485
"145" -50.399663561 -20.12276882 486
"146" -50.399663561 -20.62276882 487
"147" -50.399663561 -21.12276882 488
"148" -50.399663561 -21.62276882 489
"149" -50.399663561 -22.12276882 490
"150" -50.399663561 -22.62276882 491
"151" -50.399663561 -23.12276882 492
"152" -50.399663561 -23.62276882 493
"153" -50.399663561 -24.12276882 494
"154" -50.399663561 -24.62276882 495
"155" -50.399663561 -25.12276882 496
"156" -50.399663561 -25.62276882 497
"157" -50.399663561 -26.12276882 498
"158" -50.399663561 -26.62276882 499
"159" -50.399663561 -27.12276882 500
"160" -50.399663561 -27.62276882 501
"161" -50.399663561 -28.12276882 502
"162" -50.399663561 -28.62276882 503
"163" -50.399663561 -29.12276882 504
"164" -50.399663561 -29.62276882 505
"165" -49.899663561 -18.62276882 529
"166" -49.899663561 -20.12276882 532
"167" -49.899663561 -20.62276882 533
"168" -49.899663561 -21.12276882 534
"169" -49.899663561 -21.62276882 535
"170" -49.899663561 -22.12276882 536
"171" -49.899663561 -22.62276882 537
"172" -49.899663561 -23.12276882 538
"173" -49.899663561 -23.62276882 539
"174" -49.899663561 -24.12276882 540
"175" -49.899663561 -24.62276882 541
"176" -49.899663561 -25.12276882 542
"177" -49.899663561 -25.62276882 543
"178" -49.899663561 -26.12276882 544
"179" -49.899663561 -26.62276882 545
"180" -49.899663561 -27.12276882 546
"181" -49.899663561 -27.62276882 547
"182" -49.899663561 -28.12276882 548
"183" -49.899663561 -28.62276882 549
"184" -49.899663561 -29.12276882 550
"185" -49.899663561 -29.62276882 551
"186" -49.399663561 -18.62276882 575
"187" -49.399663561 -20.12276882 578
"188" -49.399663561 -20.62276882 579
"189" -49.399663561 -21.12276882 580
